
DATASET A
node_best	edge_best	node_avg	edge_avg
0.88	0.12	0.855355	0.211471
0.86	0.15	0.844354	0.213864
0.89	0.12	0.851051	0.217758
0.89	0.16	0.846116	0.226046
0.88	0.34	0.865275	0.242232
0.88	0.26	0.868799	0.232843
0.86	0.11	0.851101	0.224925
0.89	0.15	0.863243	0.232623
0.89	0.41	0.833754	0.223494
0.87	0.12	0.863103	0.229059
0.88	0.13	0.854324	0.226577
0.86	0.1	0.837658	0.219369
0.85	0.17	0.84958	0.224374
0.85	0.25	0.843233	0.208078
0.87	0.27	0.85029	0.228959
0.9	0.19	0.861021	0.239379
0.89	0.23	0.85023	0.224444
0.88	0.13	0.856456	0.222583
0.85	0.25	0.842222	0.206376
0.83	0.18	0.847698	0.22011
0.91	0.39	0.869469	0.224975
0.89	0.16	0.872092	0.225516
0.86	0.45	0.851291	0.234374
0.89	0.19	0.863694	0.223514
0.87	0.12	0.863864	0.216687
0.86	0.21	0.827047	0.201822
0.87	0.27	0.855806	0.232442
0.87	0.17	0.854525	0.23026
0.9	0.21	0.854124	0.220971
0.87	0.09	0.854645	0.200801
0.88	0.34	0.856717	0.233934
0.83	0.14	0.836687	0.204004
0.88	0.17	0.834274	0.202973
0.89	0.15	0.865145	0.224264
0.91	0.06	0.871532	0.239369
0.89	0.35	0.865035	0.248058
0.88	0.46	0.852192	0.212823
0.92	0.45	0.86992	0.220821
0.83	0.41	0.832633	0.21017
0.88	0.25	0.868348	0.212482
0.87	0.21	0.86045	0.228238
0.87	0.33	0.833403	0.214154
0.86	0.25	0.856306	0.21976
0.84	0.14	0.843453	0.218048
0.85	0.08	0.833233	0.21982
0.85	0.24	0.843614	0.22971
0.88	0.11	0.864074	0.231862
0.84	0.23	0.836757	0.209309
0.88	0.37	0.838649	0.221361
0.9	0.09	0.856937	0.231441
0.86	0.15	0.85955	0.223183
0.88	0.08	0.844925	0.223794
0.89	0.04	0.866276	0.232813
0.85	0.18	0.857848	0.21963
0.91	0.22	0.864755	0.230711
0.87	0.17	0.842312	0.218689
0.87	0.19	0.854154	0.209169
0.86	0.33	0.856376	0.241301
0.86	0.28	0.853273	0.219469
0.88	0.24	0.850541	0.23027
0.86	0.2	0.854785	0.232793
0.86	0.17	0.843484	0.21994
0.87	0.16	0.842783	0.207848
0.86	0.26	0.852342	0.215966
0.88	0.21	0.86017	0.230591
0.89	0.41	0.862753	0.229169
0.9	0.34	0.865516	0.223363
0.86	0.22	0.841972	0.227157
0.89	0.38	0.861722	0.238458
0.89	0.17	0.864444	0.225636
0.82	0.1	0.821301	0.20982
0.87	0.32	0.857878	0.232883
0.9	0.2	0.867097	0.238288
0.9	0.33	0.852943	0.226917
0.85	0.16	0.855265	0.215415
0.89	0.3	0.852072	0.221972
0.82	0.24	0.841922	0.204304
0.84	0.2	0.845025	0.217007
0.88	0.14	0.859399	0.219299
0.91	0.33	0.86029	0.225536
0.88	0.1	0.858238	0.227618
0.89	0.33	0.857317	0.242613
0.84	0.21	0.845025	0.216416
0.87	0.22	0.854384	0.242793
0.86	0.26	0.851061	0.220841
0.9	0.09	0.859059	0.220581
0.86	0.35	0.855626	0.233594
